epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_healthy,f1_early,f1_late,lr,is_best,epoch_time_s
0,1.9674591573801907,0.6545714285714286,1.1064673364162445,0.6826666666666666,0.6821851067089931,0.7704280155642024,0.6694736842105263,0.6066536203522505,0.001,1,31.711114168167114
1,0.5374383920972997,0.8102857142857143,0.38861264288425446,0.836,0.835207902749611,0.8623853211009175,0.8110236220472441,0.8322147651006712,0.001,1,29.526199102401733
2,0.3535260474139994,0.8708571428571429,0.35355302691459656,0.8453333333333334,0.8463126147646207,0.8493150684931506,0.864,0.8256227758007118,0.001,1,29.983478546142578
3,0.3199904840100895,0.8828571428571429,0.31178179010748863,0.8933333333333333,0.8926695087647237,0.9148514851485149,0.8956356736242884,0.8675213675213675,0.001,1,29.798059463500977
4,0.310492020574483,0.8874285714285715,0.29790017753839493,0.88,0.8805510072694683,0.9406952965235174,0.8549618320610687,0.8459958932238193,0.001,0,29.292845726013184
5,0.27718198231675406,0.8914285714285715,0.18500208295881748,0.936,0.9365163941328035,0.957983193277311,0.9257142857142857,0.9258517034068137,0.001,1,29.671363592147827
6,0.25308540883389385,0.9108571428571428,0.18967885337769985,0.932,0.9320519351931215,0.9506172839506173,0.9276437847866419,0.9178947368421052,0.001,0,29.624751806259155
7,0.23614505326206034,0.9097142857142857,0.1559927805016438,0.9346666666666666,0.9351180941624571,0.9586776859504132,0.9198473282442748,0.926829268292683,0.001,0,29.817014932632446
8,0.22584104321219706,0.9131428571428571,0.19342168482641378,0.9413333333333334,0.9414665917399967,0.9608247422680413,0.9353049907578558,0.9282700421940928,0.001,1,29.912962913513184
9,0.21304708583788437,0.9211428571428572,0.22546364925801754,0.9226666666666666,0.9234565365419295,0.964509394572025,0.8991935483870968,0.9066666666666666,0.001,0,29.453901529312134
10,0.18802596127445048,0.9248571428571428,0.2011353358005484,0.932,0.9326852096366891,0.9594882729211087,0.9239332096474954,0.9146341463414634,0.001,0,29.784016609191895
11,0.20855905718424103,0.9222857142857143,0.1543788012738029,0.9386666666666666,0.9390829896133006,0.95,0.9265536723163842,0.9406952965235174,0.001,0,29.156880378723145
12,0.2007313606413928,0.9197142857142857,0.13924922763059536,0.952,0.9521760430052661,0.9631147540983607,0.9441233140655106,0.949290060851927,0.001,1,29.647597074508667
13,0.18345328603278507,0.9342857142857143,0.22977209587891897,0.92,0.9200147145811886,0.94,0.9094412331406551,0.9106029106029107,0.001,0,29.54304313659668
14,0.18112663626670839,0.9337142857142857,0.1389369967704018,0.9506666666666667,0.9508590015346874,0.9606625258799172,0.9441233140655106,0.9477911646586346,0.001,0,29.319289445877075
15,0.1837110441516746,0.9397142857142857,0.1640098529557387,0.9546666666666667,0.9546898381553346,0.9650924024640657,0.9529190207156308,0.946058091286307,0.001,1,30.234249114990234
16,0.1653066175905141,0.9388571428571428,0.14892650985469422,0.9386666666666666,0.93900848919571,0.9527720739219713,0.9230769230769231,0.9411764705882353,0.001,0,29.828222274780273
17,0.15954153155061332,0.9374285714285714,0.1483000237494707,0.9426666666666667,0.9433514866457463,0.9626556016597511,0.9264705882352942,0.9409282700421941,0.001,0,29.803584337234497
18,0.15781315239993007,0.9402857142857143,0.11419762422641118,0.96,0.9604446416994724,0.9769392033542977,0.9485714285714286,0.9558232931726908,0.001,1,29.885359048843384
19,0.149890054830096,0.9408571428571428,0.1865103164066871,0.9346666666666666,0.9354059260835136,0.9663865546218487,0.92,0.919831223628692,0.001,0,29.584900617599487
20,0.16173846968872982,0.9417142857142857,0.18364766395340362,0.9373333333333334,0.937628412137546,0.9608247422680413,0.9273743016759777,0.9246861924686193,0.001,0,30.301013946533203
21,0.1517062715508721,0.9428571428571428,0.12327101081609726,0.956,0.956373359372288,0.9728601252609603,0.946360153256705,0.9498997995991983,0.001,0,29.58966064453125
22,0.14194271869280123,0.948,0.18418404832482338,0.9373333333333334,0.9383889753824777,0.9723991507430998,0.9203539823008849,0.9224137931034483,0.001,0,29.656373500823975
23,0.12483032328838652,0.9508571428571428,0.10689989477396011,0.9653333333333334,0.9657571102690561,0.9789915966386554,0.9547169811320755,0.9635627530364372,0.0005,1,29.76812171936035
24,0.10571450596167282,0.9625714285714285,0.1189605303419133,0.968,0.9683432136659545,0.9768421052631578,0.9584905660377359,0.9696969696969697,0.0005,1,30.17698836326599
