epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_healthy,f1_early,f1_late,lr,is_best,epoch_time_s
0,0.3058541259982369,0.8868571428571429,0.15482680841038624,0.9333333333333333,0.9334073555630442,0.9494949494949495,0.9221556886227545,0.9285714285714286,0.001,1,30.796202659606934
1,0.13252542743628676,0.9517142857142857,0.11955087104191382,0.9573333333333334,0.9579782499322729,0.9655172413793104,0.9454545454545454,0.9629629629629629,0.001,1,30.336057662963867
2,0.12207425043664195,0.9582857142857143,0.382425956428051,0.8906666666666667,0.8905438496106756,0.8897196261682243,0.8757894736842106,0.9061224489795918,0.001,0,31.79140305519104
3,0.09935877179218965,0.9654285714285714,0.215925395488739,0.9266666666666666,0.9276542089680643,0.9422222222222222,0.9398058252427185,0.9009345794392524,0.001,0,29.307108879089355
4,0.07498193737119437,0.9737142857142858,0.10907530458644032,0.964,0.9643524333415175,0.976545842217484,0.9591078066914498,0.9574036511156186,0.001,1,30.017737865447998
5,0.07153750632635572,0.9742857142857143,0.10074586607515812,0.9733333333333334,0.9737827178042626,0.9872881355932204,0.9644859813084112,0.9695740365111561,0.001,1,29.337634801864624
6,0.07900643893940883,0.9745714285714285,0.09031999359528224,0.972,0.9720764251884585,0.975103734439834,0.9696969696969697,0.9714285714285714,0.001,0,29.840900182724
7,0.05777739579366012,0.9788571428571429,0.10733694645265739,0.9693333333333334,0.969668006227146,0.9763440860215054,0.9629629629629629,0.9696969696969697,0.001,0,29.318452835083008
8,0.06812814781653949,0.9765714285714285,0.11590050360731159,0.972,0.9722121538344805,0.9853862212943633,0.967984934086629,0.963265306122449,0.001,0,29.961687564849854
9,0.06441317922012373,0.98,0.08643941627815366,0.9706666666666667,0.9709844755816291,0.985200845665962,0.9662921348314607,0.9614604462474645,0.001,0,29.604018926620483
10,0.035995402530005036,0.986,0.11262801308960964,0.968,0.9683641975308642,0.9875,0.9592592592592593,0.9583333333333334,0.0005,0,29.470849752426147
11,0.03160389727404849,0.9882857142857143,0.07306768459966406,0.9773333333333334,0.9775705931495405,0.9894736842105263,0.9752380952380952,0.968,0.0005,1,29.819860219955444
12,0.02721479165219617,0.9882857142857143,0.07888357262224115,0.9786666666666667,0.9789681143231054,0.9916317991631799,0.9718574108818011,0.9734151329243353,0.0005,1,29.445812463760376
13,0.02069385769427754,0.9928571428571429,0.125749027421989,0.9733333333333334,0.9737357000763954,0.9894291754756871,0.966542750929368,0.9652351738241309,0.0005,0,29.465094566345215
14,0.01927907419475642,0.9917142857142857,0.08099536298929404,0.9813333333333333,0.981618949994835,0.9915611814345991,0.975517890772128,0.9777777777777777,0.0005,1,30.042548179626465
15,0.024158286504362796,0.9917142857142857,0.09173586691031232,0.9813333333333333,0.9816638812314702,0.9937106918238994,0.9736842105263158,0.9775967413441955,0.0005,0,29.606971263885498
16,0.016680779381104828,0.9937142857142857,0.1464462742830316,0.9666666666666667,0.9672659477767477,0.9785407725321889,0.9560439560439561,0.9672131147540983,0.0005,0,30.018192529678345
17,0.01649462474637072,0.9945714285714286,0.13015260723720226,0.9706666666666667,0.9711917109644544,0.9894291754756871,0.9611829944547134,0.9629629629629629,0.0005,0,29.526587963104248
18,0.020997407055322336,0.9925714285714285,0.11426591709096101,0.9706666666666667,0.9711192534072163,0.9852631578947368,0.9607476635514018,0.9673469387755103,0.0005,0,29.258060216903687
19,0.011772251735568385,0.9962857142857143,0.10780951273530566,0.9786666666666667,0.9789628894724447,0.9915611814345991,0.9737827715355806,0.9715447154471545,0.00025,0,30.191036224365234
20,0.007068009058341638,0.9971428571428571,0.10799962765001207,0.98,0.9803477146721495,0.9957983193277311,0.9735849056603774,0.97165991902834,0.00025,0,30.03844976425171
21,0.01539582506017971,0.996,0.10232813577749766,0.98,0.9803165298686425,0.9936575052854123,0.975517890772128,0.9717741935483871,0.00025,0,29.20470094680786
