epoch,train_loss,train_acc,val_loss,val_acc,val_f1_macro,f1_healthy,f1_early,f1_late,lr,is_best,epoch_time_s
0,0.33454889905723656,0.8665714285714285,0.3029511198401451,0.8693333333333333,0.8683268348003118,0.9309664694280079,0.827433628318584,0.8465804066543438,0.001,1,38.302250146865845
1,0.1357680355283347,0.9531428571428572,0.1301061105914414,0.9546666666666667,0.9554912896784411,0.9829787234042553,0.9436893203883495,0.9398058252427185,0.001,1,35.477139711380005
2,0.10074918351390146,0.9628571428571429,0.12445531975633155,0.9573333333333334,0.9578826803786552,0.9764453961456103,0.951310861423221,0.9458917835671342,0.001,1,35.80186700820923
3,0.12067923142828725,0.956,0.08872663664321105,0.968,0.9684935565006279,0.9873417721518988,0.9589552238805971,0.9591836734693877,0.001,1,35.233773708343506
4,0.10378970959308473,0.9637142857142857,0.13467656106998524,0.952,0.9525551181223721,0.9678800856531049,0.953125,0.9366602687140115,0.001,0,34.933974742889404
5,0.09071440945633433,0.97,0.09840685781091452,0.96,0.9601905999566819,0.9753086419753086,0.9538461538461539,0.951417004048583,0.001,0,35.02303409576416
6,0.07621700037270784,0.972,0.13258992414921522,0.9586666666666667,0.9594176015382253,0.9873417721518988,0.9448529411764706,0.946058091286307,0.001,0,34.92668414115906
7,0.07906417072835294,0.9728571428571429,0.10794895972746114,0.9613333333333334,0.9616257483894074,0.9832635983263598,0.9555555555555556,0.946058091286307,0.001,0,34.95721125602722
8,0.061996558782729236,0.9811428571428571,0.0717549999098992,0.976,0.9762743364088472,0.9895615866388309,0.969811320754717,0.9694501018329938,0.0005,1,35.32436680793762
9,0.034686822935261506,0.9877142857142858,0.0841188774817662,0.976,0.9762496356442085,0.989517819706499,0.9717514124293786,0.967479674796748,0.0005,0,35.16329765319824
10,0.0440327544643713,0.9828571428571429,0.060994279572090214,0.9813333333333333,0.9816661919446391,0.9937106918238994,0.9737827715355806,0.9775051124744376,0.0005,1,35.08717942237854
11,0.032592066474766895,0.9885714285714285,0.07952695109512813,0.9773333333333334,0.9777723632790193,0.9893842887473461,0.9682242990654205,0.9757085020242915,0.0005,0,35.04578733444214
12,0.0313354007285935,0.9917142857142857,0.06667367285505559,0.9733333333333334,0.9737090362582382,0.9851380042462845,0.9662921348314607,0.9696969696969697,0.0005,0,34.89151668548584
13,0.029898612992838025,0.9914285714285714,0.07347708208059582,0.9773333333333334,0.977691099460551,0.9937106918238994,0.9700374531835206,0.9693251533742331,0.0005,0,34.87794733047485
14,0.04128856687827713,0.9891428571428571,0.13711403174723577,0.9693333333333334,0.9698899737637702,0.9915611814345991,0.9596928982725528,0.9584158415841584,0.0005,0,34.79639410972595
15,0.028838959264844147,0.9897142857142858,0.09618488601699937,0.976,0.976327010204831,0.9915966386554622,0.9700374531835206,0.9673469387755103,0.00025,0,34.921183347702026
16,0.014853445281518031,0.996,0.09195476464810781,0.9786666666666667,0.9789295703600746,0.9915966386554622,0.9738805970149254,0.9713114754098361,0.00025,0,35.23676037788391
17,0.012282496643125673,0.9957142857142857,0.09355661327602623,0.9813333333333333,0.9815592408116834,0.9937106918238994,0.9774436090225563,0.9735234215885947,0.00025,0,35.10264348983765
