model,family,precision,accuracy,f1_macro,recall_healthy,recall_early_blight,recall_late_blight,latency_ms,ram_mb,fps,energy_mj
efficientformerv2_s0,Hibrido c/atencion,FP32,0.9867,0.9869,1.0,0.9733,0.988,105.56,126.2,9.47,282.51
efficientformerv2_s0,Hibrido c/atencion,FP16,0.9867,0.9869,1.0,0.9733,0.988,108.506,137.5,9.22,285.3504
efficientnetv2_b0,CNN,FP32,0.9813,0.9816,0.9958,0.9618,0.988,89.625,141.8,11.16,274.3884
efficientnetv2_b0,CNN,FP16,0.9813,0.9816,0.9958,0.9618,0.988,89.421,147.9,11.18,269.17920000000004
mobilenetv4_conv_small,CNN,FP32,0.9573,0.9579,0.9874,0.9427,0.9438,23.998,129.4,41.67,79.9236
mobilenetv4_conv_small,CNN,FP16,0.9573,0.9579,0.9874,0.9427,0.9438,27.312,124.6,36.61,72.2628
repvit_m1,Hibrido s/atencion,FP32,0.9907,0.9908,1.0,0.9924,0.9799,120.227,151.2,8.32,357.00120000000004
repvit_m1,Hibrido s/atencion,FP16,0.9907,0.9908,1.0,0.9924,0.9799,121.683,145.9,8.22,352.782
